Week Start,Keyword,Target Page,Search Intent,Current Rank,Previous Rank,Rank Change,Impressions,Clicks,CTR,Top Competitor URL,On-Page Status,Backlinks,Priority,Next Action,Owner,Notes
2026-07-13,solar panel installation philippines,https://d-solar.asia/blogs/solar-panel-installation-process,Commercial,,,,,,,,Needs update,0,High,Improve title + add FAQ schema,SEO Team,
2026-07-13,solar panel cleaning,https://d-solar.asia/blogs/solar-panel-cleaning,Informational,,,,,,,,Published,0,Medium,Add internal links from related blogs,SEO Team,
2026-07-13,solar panel cleaning frequency,https://d-solar.asia/blogs/solar-panel-cleaning-frequency,Informational,,,,,,,,Published,0,Medium,Refresh with local climate data,SEO Team,
2026-07-13,net metering philippines,https://d-solar.asia/blogs/net-metering-meter-backward-,Informational,,,,,,,,Needs update,0,High,Add up-to-date utility process details,SEO Team,
2026-07-13,solar panel lifespan philippines,https://d-solar.asia/blogs/solar-panel-lifespan-in-metro-manila-philippines-how-long-will-your-system-really-last-,Informational,,,,,,,,Published,0,Medium,Improve intro for search intent,SEO Team,
2026-07-13,solar panel warranty philippines,https://d-solar.asia/blogs/solar-panel-warranty-benefits,Informational,,,,,,,,Published,0,Low,Add comparison table,SEO Team,
2026-07-13,home suitability for solar panels,https://d-solar.asia/blogs/home-suitability-for-solar-panels,Informational,,,,,,,,Published,0,Medium,Add checklist downloadable CTA,SEO Team,
2026-07-13,solar panel savings philippines,https://d-solar.asia/blogs/saving-with-solar-panel-in-metro-manila-philippines-will-it-really-save-you-money-,Commercial,,,,,,,,Needs update,0,High,Add worked bill-saving examples,SEO Team,
2026-07-13,electricity usage before solar,https://d-solar.asia/blogs/electricity-usage-before-solar-panel-installation,Informational,,,,,,,,Published,0,Low,Add visual baseline chart,SEO Team,
2026-07-13,how do solar panels work,https://d-solar.asia/blogs/how-do-solar-panels-work-a-simple-explanation-for-filipino-homeowners,Informational,,,,,,,,Published,0,Medium,Add schema + short explainer video,SEO Team,
2026-07-13,solar battery inclusion,https://d-solar.asia/blogs/solar-battery-inclusion,Commercial,,,,,,,,Published,0,Medium,Add buyer decision matrix,SEO Team,
2026-07-13,solar panel expansion,https://d-solar.asia/blogs/solar-panel-expansion,Commercial,,,,,,,,Published,0,Medium,Add retrofit cost ranges,SEO Team,
2026-07-13,commercial solar consulting philippines,https://d-solar.asia/blogs/commercial-solar-consulting-energy-savings,Commercial,,,,,,,,Published,0,High,Create service page and link back,SEO Team,
2026-07-13,solar installer philippines,https://d-solar.asia/blogs/dtec-solutions-inc-top-solar-installer,Commercial,,,,,,,,Published,0,High,Strengthen E-E-A-T and proof points,SEO Team,
2026-07-13,residential solar panels lifespan,https://d-solar.asia/blogs/residential-solar-panels-lifespan,Informational,,,,,,,,Published,0,Low,Update with warranty stats,SEO Team,
2026-07-13,solar financing philippines,https://d-solar.asia/solar-financing,Commercial,,,,,,,,Needs page check,0,High,Expand page copy and add FAQs,SEO Team,
2026-07-13,solar projects philippines,https://d-solar.asia/projects,Commercial,,,,,,,,Published,0,Medium,Add project schema and case studies,SEO Team,
2026-07-13,solar company davao,https://d-solar.asia/blogs/davao-city-investments-now-bigger-and-safer-with-the-entry-of-a-technological-solutions-provider,Commercial,,,,,,,,Published,0,Medium,Add local SEO sections and maps,SEO Team,
2026-07-13,leakproof solar roof mounting,https://d-solar.asia/blogs/leakproof-solar-roof-mounting-,Informational,,,,,,,,Published,0,Low,Improve URL slug in future redirect plan,SEO Team,
2026-07-13,solar installation timeline philippines,https://d-solar.asia/blogs/solar-panel-installation-timeline-in-metro-manila-philippines-,Informational,,,,,,,,Needs update,0,High,Add timeline infographic + CTA,SEO Team,
